公司全名,公司规模,职位名称,薪资水平,工作经验,学历要求,区域,职位福利,工作年限,经验,salary,月工资
去哪儿网,2000人以上,测试开发工程师-机票事业部,30k-45k,5-10年,本科,海淀区,16-21薪,"['5', '10']",7.5,"['30', '45']",33.75
字节跳动,2000人以上,测试开发工程师,20k-40k,3-5年,本科,海淀区,六险一金，弹性工作，免费三餐，租房补贴，带薪休假，休闲下午茶，扁平管理，健身瑜伽，过亿用户，职业大牛，晋升空间，团队氛围好，优厚薪资,"['3', '5']",4.0,"['20', '40']",25.0
Face++,500-2000人,资深测试开发工程师,25k-50k,5-10年,本科,海淀区,大牛云集，弹性工作,"['5', '10']",7.5,"['25', '50']",31.25
波场TRON,150-500人,测试开发工程师,20k-40k,3-5年,本科,海淀区,"区块链技术,国际化团队,技术大牛,发展前景好","['3', '5']",4.0,"['20', '40']",25.0
NIO蔚来,2000人以上,高级测试开发工程师,20k-40k,3-5年,本科,朝阳区,"六险一金,弹性办公,租房补贴,弹性办公","['3', '5']",4.0,"['20', '40']",25.0
雪球,150-500人,资深测试开发工程师,20k-28k,3-5年,本科,朝阳区,六险一金,"['3', '5']",4.0,"['20', '28']",22.0
玖富集团,2000人以上,高级测试开发工程师,20k-30k,5-10年,本科,朝阳区,"大平台,成长迅速","['5', '10']",7.5,"['20', '30']",22.5
好未来,2000人以上,资深测试开发,30k-60k,5-10年,本科,海淀区,福利好待遇优,"['5', '10']",7.5,"['30', '60']",37.5
花椒直播,150-500人,移动测试开发工程师,15k-25k,3-5年,本科,朝阳区,"大牛带队,餐补车补,六险一金","['3', '5']",4.0,"['15', '25']",17.5
喜马拉雅,500-2000人,测试开发工程师,15k-20k,3-5年,本科,朝阳区,音频独角兽 互联网 扁平化 高成长,"['3', '5']",4.0,"['15', '20']",16.25
汽车之家,2000人以上,测试开发工程师,13k-20k,5-10年,本科,海淀区,Linux,"['5', '10']",7.5,"['13', '20']",14.75
搜狗,2000人以上,商业基础工程-测试开发工程师,15k-30k,3-5年,本科,海淀区,全栈测试开发 业界技术牛人 DevOps实践,"['3', '5']",4.0,"['15', '30']",18.75
GrowingIO,150-500人,移动端测试开发工程师,20k-35k,3-5年,本科,朝阳区,期权激励、硅谷文化、牛人共事、技术驱动,"['3', '5']",4.0,"['20', '35']",23.75
闪银奇异,500-2000人,高级测试开发,25k-45k,5-10年,本科,朝阳区,七险一金 免费餐饮 海外团建 专业团队,"['5', '10']",7.5,"['25', '45']",30.0
贝壳,2000人以上,资深测试开发工程师,25k-40k,5-10年,本科,海淀区,"公司氛围好,内部成长快,免费三餐,15薪","['5', '10']",7.5,"['25', '40']",28.75
字节跳动,2000人以上,测试开发工程师【校招】,15k-25k,应届毕业生,本科,东城区,六险一金，弹性工作，免费三餐，餐补,[],0.0,"['15', '25']",17.5
好未来,2000人以上,测试开发专家,30k-60k,5-10年,不限,海淀区,福利好待遇优,"['5', '10']",7.5,"['30', '60']",37.5
去哪儿网,2000人以上,高级测试开发工程师-金融事业部(J10609),15k-30k,5-10年,本科,海淀区,福利待遇好,"['5', '10']",7.5,"['15', '30']",18.75
