所在城市,评论者性别,评论者昵称,猫眼等级,评分,评论日期,评论内容,城市
南郑区,"('',)",沫熙997,2,5.0,2019-01-01 21:05:13,完美，这些年看过最烂的一部电影，没有之一,南郑区
濮阳,"('',)",守望花开110,1,0.5,2019-01-01 21:05:07,一点也不好看,濮阳
太原,"('',)",BFt512111951,2,0.5,2019-01-01 21:05:04,辣鸡片 好好的跨年没了,太原
寿光,"('',)",营营girl,2,1.0,2019-01-01 21:04:57,一点都没意思。。,寿光
北京,"(1,)",福根儿,3,0.5,2019-01-01 21:04:55,什么玩意，故作高深云里雾里的，会讲故事吗,北京
呼和浩特,"('',)",施小琴不走心,1,0.5,2019-01-01 21:04:53,有史以来看过最难看的电影。完全不理解。没意思。大过年的。本来想给个零分的。不能只好一分了。以后这个导演的电影我是不敢看了。困。还想中间逃走。。。。,呼和浩特
凉山,"(2,)",姜力洗护@丹丹,3,1.0,2019-01-01 21:04:52,不知道是不是自己智商不够，我想问下，有看的懂的吗？我没看懂，一场电影结束，一个场次的人都在说没看懂，导演的智商我们跟不上啊！,凉山
无锡,"('',)",尤某711,1,0.0,2019-01-01 21:04:37,又臭又长，还贵？？这是啥操作，别再上当了，这是我看过最烂的电影，没有之一！浪费了跨年时间。。。。,无锡
贵阳,"('',)",FmT326203336,4,1.0,2019-01-01 21:04:35,超级烂片、看不下去提前离场了,贵阳
苏州,"('',)",宝总123,3,0.5,2019-01-01 21:04:27,"尊敬的导演，你为我们拍了18年最后，19年的开始的一部电影，可是我们地球人看不懂
无力吐糟了",苏州
深圳,"(1,)",skr时,3,0.5,2019-01-01 21:04:18,不想说什么根本看不懂,深圳
龙口,"('',)",JgI746221293,2,0.5,2019-01-01 21:03:37,超差 真的。,龙口
深圳,"('',)",bay99917,2,0.5,2019-01-01 21:03:34,世上看过的最烂最无聊的电影，整部电影都不知道要说什么，从头到尾就在一堆破烂的房子里，人物乱七八糟的，画面充满了脏兮兮，整个电影就是典型的：脏乱差！什么破导演？汤唯很缺钱用吗？张艾嘉那个角色是什么意思？每个镜头拖拉到几分钟十分钟，140分钟要阐述什么？,深圳
莆田,"(1,)",林伟,3,0.5,2019-01-01 21:03:28,五个人一起去看的，那时候看只有这部电影可以从2018看到2019所以就去看了。电影不知道在演什么，看了差不多半小时，我们五个就跑去撸串跨年。这是我2018年看的唯一一部烂片,莆田
临沂,"(2,)",O.oooooo,1,0.5,2019-01-01 21:03:26,什么鬼 呵呵,临沂
绵阳,"(1,)",蟹小遇,3,0.5,2019-01-01 21:03:26,"座椅不错
睡得好舒服",绵阳
太原,"(2,)",偏闹。118,1,0.5,2019-01-01 21:03:13,看不懂。,太原
长沙,"(2,)",若627,2,0.5,2019-01-01 21:03:09,不好看，，，，，坑,长沙
石家庄,"('',)",leT878739772,3,5.0,2019-01-01 21:02:57,我只能说每个人的感受不同。看之前就有朋友说看不懂，其实一开始我也有点没看懂，但后来越看越带劲。有种东野圭吾的感觉，两个精分的小伙伴看的亢奋，看完了还讨论了一路。这种小众的片子不适合大多数人，也不适合情侣，宣传让很多人期待，但是这种片子其实不该大肆宣传让欣赏的人欣赏就好了。,石家庄
广州,"('',)",韵,0,0.5,2019-01-01 21:02:44,这么垃圾的电影，免费也不看,广州
鞍山,"('',)",eeZ773278613,3,0.0,2019-01-01 21:02:42,什么破电影，没头没尾的，什么也没看明白，还好一在跨年这年播出，占个好时机你不拍好电影，导演也是个二货，以后都别再拍了，再也不会看你电影，倒搭都不看,鞍山
兴城,"('',)",德摩根cc,2,0.5,2019-01-01 21:02:26,从未看过这样谜一般的电影，开场座无虚席，过了半个小时，还剩下十多个人，跨年夜去看这个电影的都是情侣，不知道他们看完是啥感受。,兴城
南昌,"('',)",涛涛江水1228,2,0.5,2019-01-01 21:02:24,只能说感觉自己和女朋友被骗了，本来觉得看这部电影跨年会很意义，没想到只是在浪费异地恋那珍贵的时间，今年挂羊头卖狗肉的电影真多,南昌
福清,"(1,)",亚伦yaren0,2,0.5,2019-01-01 21:02:18,难看死啦啊啦啦,福清
郑州,"('',)",eRc268340881,3,1.0,2019-01-01 21:02:15,这是我看过最烂的电影了  从头看到尾  没看懂演的啥,郑州
无锡,"('',)",柒染！！！！,2,0.5,2019-01-01 21:02:09,这部片子就是靠炒作，可能有人说这部片子不烂，是它太有深度了。可我想说，就算这是部好片，可也不要用炒作的方式来吸引票房啊，只会降低它的档次,无锡
三河,"(2,)",晨曦之光335,2,0.5,2019-01-01 21:02:02,最为一个普通的观众，表示很不喜欢这部电影，我觉得一部电影是讲述一个故事或者什么道理，我不太懂什么长镜头，我只看剧情，剩下的音效和镜头什么的拍摄方式都应该是为剧情本身辅助的，剧情好，好的拍摄方式可以使电影升华，剧情无趣再好的拍摄方式也只会让人想睡。,三河
福州,"(2,)",FLAMINGO19,3,2.0,2019-01-01 21:01:51,2018年度十佳烂片，叙事线乱七八糟，票价贼贵，结束后全场一片哗然，很多bug，最后一个手持镜头晕的我想吐，是有什么寓意所以要用手持吗？所以全片是要表达遇见对的人也是短暂的？,福州
杭州,"('',)",猫腻之间的秘密,3,0.5,2019-01-01 21:01:42,超级难看 不好看,杭州
沈阳,"('',)",香域女人,5,0.5,2019-01-01 21:01:36,这个电影是催眠电影，演员连个正脸都没有，,沈阳
徐州,"('',)",h69595,2,0.5,2019-01-01 21:01:26,好懒烂好难看,徐州
常德,"('',)",陈只只c,2,0.5,2019-01-01 21:01:18,不好看，，，,常德
广州,"('',)",JinGBb_,3,0.5,2019-01-01 21:00:35,完全看不懂 我看了个啥,广州
安丘,"('',)",潇芒殤,2,1.0,2019-01-01 21:00:26,这是我唯一看睡了的电影，讲的实在理解不了,安丘
昆山,"('',)",YUg308011164,1,1.0,2019-01-01 21:00:21,这是我看过最烂的电影没有之一,昆山
南京,"('',)",呀呀，土豆儿,2,0.5,2019-01-01 21:00:17,我所看过最垃圾的电影，没有之一！垃圾垃圾垃圾,南京
杭州,"('',)",Z、Pó,1,0.5,2019-01-01 21:00:13,一分都怕你骄傲,杭州
抚顺,"(1,)",Island张,3,0.5,2019-01-01 21:00:11,看不懂太抽象了,抚顺
烟台,"(1,)",独家记忆,2,4.0,2019-01-01 21:00:07,"整部电影给我的总体感觉就是很茫然，倒也不算是完全没看懂，准确的说，应该说是有点儿让我“不知所措”，全影都是用贵州方言讲述的，以主人公叫第一视角论述的，我觉得这是一个亮点，貌似是用回忆的那种方式来向观众讲述自己的往事，比较能够让人产生共鸣！
其实，不得不说，我是坚持着看完的，因为看到一半的时候就会有点儿无聊，突然有种没看懂的感觉，不过到3D效果的时候，就好了。。。
主人公的感情色彩很丰富，而且用情专一，仿佛通篇都是在寻找一个自己曾经深爱过的女人，
总的来说，还是可以的。。。",烟台
东莞,"('',)",IVP350987091,2,0.5,2019-01-01 21:00:05,困死了。，。，,东莞
镇江,"('',)",nti768601925,3,4.0,2019-01-01 20:59:33,2018年最后一天看了《地球最后的夜晚》，到中段的时候感到无聊，至影片结尾觉得还算有点代入感，现在看了一些影评，觉得这部文艺片还是挺有意义的。每个人都被一股洪流推动着，有的时候因缘际会，彼此遇到一起，但实际上离得很遥远。影片前70分钟的现实部分，男主角奋力去探寻真相，因为他的人生有太多的扑朔迷离，影片后60分钟的想象部分，男主角亲自给每个扑朔迷离的情节画上了心中的句点。心中的答案或许与现实毫不相干，但却最有效，因为真相就像无垠的太空般让人无处栖身，自己的寥寥几笔反倒成就了温馨的人间烟火。,镇江
武汉,"(1,)",李家孤狼,2,5.0,2019-01-01 20:59:32,影院的座椅超级舒服，十二点进厂看了五分钟睡得可舒服，醒了喝点饮料继续睡，影院也不冷，全程比较安静，必须好评。,武汉
呼和浩特,"('',)",樂樂抱抱,3,3.0,2019-01-01 20:59:28,还行吧很文艺看不懂有点还行,呼和浩特
商丘,"(2,)",zzH540001314,2,0.5,2019-01-01 20:59:22,地球最烂的电影,商丘
肇庆,"('',)",yy,3,2.5,2019-01-01 20:59:16,太文艺看不懂,肇庆
呼和浩特,"(1,)",vqE425289125,2,0.5,2019-01-01 20:59:15,差评差差差差评,呼和浩特
郑州,"(1,)",李维希嘟啦,3,0.5,2019-01-01 20:59:14,我真是服了！开场十分钟不到  瞌睡的头疼，实在抬不起来头  睡了一小会  之后就接着难受  ！！！2018年最难熬的两个小时！！！！！！！,郑州
惠阳,"('',)",GjZ242560360,2,0.5,2019-01-01 20:59:13,什么破电影。有史以来看的最垃圾的电影，没有之一，真是骗子，还说了我37块钱。。。。烂电影，太垃圾了,惠阳
广州,"('',)",模特,2,0.5,2019-01-01 20:59:12,能突破2.0就看你们了,广州
临沂,"(2,)",吖0919,2,0.5,2019-01-01 20:59:08,真心不好看，而且比一般电影都贵，要不是打着跨年的旗号估计应该没人去看。,临沂
烟台,"('',)",潘丽艳呀,2,0.5,2019-01-01 20:58:59,看不懂，看不懂。,烟台
太原,"('',)",blZ32939140,1,3.0,2019-01-01 20:58:59,不好看，？！赶紧,太原
郑州,"('',)",FFh108152137,2,5.0,2019-01-01 20:58:58,这部电影真是棒极了，肯定是你们没看懂,郑州
苏州,"('',)",epiphyllum9,3,0.5,2019-01-01 20:58:54,真心看不懂啊,苏州
淮南,"(1,)",Halo″,3,0.5,2019-01-01 20:58:48,最烂的片  遇到了最好的销售团队,淮南
清镇,"(2,)",贺丽娟,4,0.5,2019-01-01 20:58:48,烂片一部。不看后悔看了更后悔。退钱的心都有，超级垃圾片,清镇
吴江,"(1,)",混迹的鱼,3,0.5,2019-01-01 20:58:44,都是长镜头看的让人奔溃，这没关系，一部电影的灵魂在于会不会讲故事，看完这部电影我想说这两个小时我经历了什么,吴江
上海,"(2,)",七夏,2,3.5,2019-01-01 20:58:27,好看吗？我觉得应该是好看的吧，可惜我看不懂。很多人说这是一部被误导为爱情片的文艺片，是被骗进电影院的，嗯嗯，其实我也是被那句广告词给吸引的，虽然我看过介绍，知道是文艺片，还是坚持想看。总感觉，在2018年的最后一天，看一场以此命名的电影，有一种美好的仪式感。很浪漫。而剧情就在寻找中开始，在梦镜中走失，最后，长镜头的运用，真的不是一般导演可以驾驭的，非常成熟，比《路边野餐》更流畅自然。记录片一般，真实的透视着生活，而埋藏其下的还有内心的蠢蠢欲动。,上海
苏州,"('',)",LEV549845798,2,0.5,2019-01-01 20:58:26,呵呵哒，浪费我时间 呵呵呵,苏州
淮南,"(1,)",AWM3299,2,2.0,2019-01-01 20:58:08,也不知道是我情商低还是电影太高大上，两个小时完全在梦游,淮南
滕州,"(1,)",莫虚度482,3,0.5,2019-01-01 20:58:03,真的是特别无语,滕州
包头,"('',)",Tby566093749,3,2.5,2019-01-01 20:57:58,还行…………………………,包头
郑州,"(1,)",梨诚,2,1.0,2019-01-01 20:57:47,感觉智商被侮辱，啥也没看懂。,郑州
三河,"(1,)",老菠萝与小苹果_,2,0.5,2019-01-01 20:57:33,二十年来最烂的烂片。没有之一。,三河
大庆,"(2,)",A.今天很想你🧡,1,0.5,2019-01-01 20:57:33,苹果给好评.,大庆
上海,"(1,)",敷衍〆硪的笑,2,0.5,2019-01-01 20:57:30,地道的烂片   全程都不知演的啥,上海
连云港,"('',)",LetheSun.,2,1.5,2019-01-01 20:57:14,懵逼树上懵逼果，懵逼树下你和我,连云港
广州,"(2,)",🐰🍓🎃,4,0.5,2019-01-01 20:57:12,难看。无聊。 ,广州
抚顺,"(2,)",香草吧噗,2,2.5,2019-01-01 20:57:04,"四分给椅子  关于影片
也不错了  要不是有人叫我就睡到明年了🙄",抚顺
常州,"(1,)",一愿吃尽天下美食,3,1.0,2019-01-01 20:57:00,"2d转3d的内容，我个人觉得噱头意味更大
因为除了刚戴上3d眼镜是立体的字幕有点效果
剩余的内容就和3d没什么关系了
还是那句，可以，但没必要
本身电影用光就很暗了，还要再戴个3d眼镜
其实看来是更累眼睛了
最让我感受爆炸的一段，就是吃苹果的那一段
突如其来的吃苹果
眼睁睁看着吃完一个苹果，边吃边流泪
吃了2分钟
这真的颠覆了我对电影镜头运用的理解",常州
扬州,"('',)",饭饭820,2,0.5,2019-01-01 20:57:00,2018年度烂片，本以为是唯美的爱情片，结果是严重不符合片名,扬州
奉化,"(1,)",王萌萌_ii,3,0.5,2019-01-01 20:56:51,史上看的最烂的电影没有之一！！！,奉化
台州,"('',)",此用户名已注册W,2,1.0,2019-01-01 20:56:51,一分给苹果另一分给香烟整2分给坚持看完全片的自己全程懵逼没看懂发呆犯困,台州
邢台,"('',)",kGZ379117886,1,3.5,2019-01-01 20:56:40,电影应该分成两个部分，前面是他的回忆，后面是他的追寻，是一个梦，所以后半部分出现很多怪诞的事情，比如飞下去，烟花一直燃烧，整个电影是追忆，要是把汤唯饰演的角色想的特别好，就怎么看也看不明白了，其实是她骗了他，利用他杀了黑社会老大，却自己拿钱跑了。,邢台
延安,"('',)",kiss木嘛,1,0.5,2019-01-01 20:56:01,史上最烂，没有更烂只有最烂，简直毁掉了跨年的心情，太恶心了简直了……为什么没有零分，差评。,延安
银川,"(1,)",GSHUAI.,4,0.5,2019-01-01 20:55:38,烂到家了  我都不知道电影要表达啥      头疼,银川
清镇,"('',)",JmH697889675,4,0.5,2019-01-01 20:55:35,一部让人脑洞大开的影片，一直在问自己为什么没有看懂到底演的是个啥,清镇
西安,"('',)",lowkey1991,3,4.0,2019-01-01 20:55:22,长镜头运用较多，看起来有点累,西安
海安,"('',)",Rsl110719379,3,0.5,2019-01-01 20:54:57,影片内容跟电影名字完全没有任何关系 主要内容只叙述了一件事 两个人还82一点都不值,海安
莱芜,"(1,)",逆天x逆天,3,5.0,2019-01-01 20:54:56,看过最烂的电影 没有之一，幸好万达的座椅很舒服美美的睡了一觉,莱芜
巴彦淖尔,"('',)",_qq53s1436410620,3,1.0,2019-01-01 20:54:54,毫无尿点，特无聊,巴彦淖尔
惠州,"('',)",Icey菲菲,2,5.0,2019-01-01 20:54:38,文艺片，能咋说，各有各的看法，本就是梦境现实混沌不清的,惠州
重庆,"('',)",lvR680807391,1,0.5,2019-01-01 20:54:31,太难看了。从来没有看过这么难看的电影。,重庆
贵阳,"('',)",王鹤叡,2,3.0,2019-01-01 20:54:23,从开始到结尾都很懵逼,贵阳
重庆,"(1,)",尧尧,4,0.5,2019-01-01 20:54:16,女朋友是大哲学家看得懂,重庆
呼和浩特,"(2,)",bxr520hsl,2,0.5,2019-01-01 20:54:15,烂片烂片烂片,呼和浩特
敦化,"(1,)",喜欢游泳滴鱼,2,0.5,2019-01-01 20:54:13,不知道讲的是啥。烂片～,敦化
罗定市,"('',)",此心不二，,2,2.5,2019-01-01 20:54:12,影片表示看不懂，剧情很平，早知道看海王了。,罗定市
泰州,"('',)",jUs691869022,1,0.5,2019-01-01 20:54:04,看不懂...,泰州
东营,"(2,)",芯语baby,2,2.5,2019-01-01 20:53:59,不好看，没意思,东营
张家界,"('',)",Kcu834028685,2,0.5,2019-01-01 20:53:49,烂片........,张家界
昆明,"(2,)",小陈17,2,0.5,2019-01-01 20:53:32,不得不说确实很催眠,昆明
阜阳,"(2,)",非为长生,2,2.0,2019-01-01 20:53:24,原谅我可能不懂导演的心思，从头到尾没看明白。本以为会是一部催人泪下的片子，去看的时候已经做好了哭的准备，但看了之后发现我看的根本毫无头绪，没有任何线索可以让我看懂这个电影。  觉得它比较差是我个人原因，毕竟不是每个人的想法都一样，我们做不到统一,阜阳
苏州,"('',)",寻尛,2,0.5,2019-01-01 20:53:18,简直是2018年最后的神坑，全程懵圈过,苏州
平顶山,"('',)",yBP884271199,2,0.5,2019-01-01 20:53:16,完全没看懂   看了二十分钟就走了,平顶山
大连,"('',)",折翼女孩S,2,0.5,2019-01-01 20:53:08,什么鬼  坑人,大连
中山,"(1,)",一缕灬斜阳,2,0.5,2019-01-01 20:53:05,唯一一个能让我睡觉的电影，不错,中山
北京,"('',)",KDJ475354892,2,1.0,2019-01-01 20:53:03,光影昏暗，看不清楚，方言对白，听不明白，综上所述，我看睡了。,北京
东莞,"('',)",sxo349426341,2,1.0,2019-01-01 20:53:02,辣鸡啊！。。。,东莞
西安,"(1,)",joker32188,2,0.5,2019-01-01 20:52:58,烂到爆  导演脑子有坑,西安
泰州,"(1,)",小人物卐,2,0.5,2019-01-01 20:52:58,只能说上映de时间比较好，看好你哦,泰州
贵阳,"('',)",TSQ769628179,2,0.0,2019-01-01 20:52:53,表示看过最烂的一部剧,贵阳
淮南,"('',)",_qq27c1440440903,2,1.0,2019-01-01 20:52:42,辣鸡 真辣鸡,淮南
太原,"('',)",ljt797570247,2,0.5,2019-01-01 20:52:40,考验人的智商？时间主线太多，那条是真的，那条是回忆，太混乱，差评。一千个人一千个理解。,太原
沈阳,"('',)",喬筱瑞,2,0.5,2019-01-01 20:52:38,看不懂。。。。。。,沈阳
平遥,"('',)",幸福有秘方,3,0.5,2019-01-01 20:52:24,电影画质模糊，地方语言，难听懂,平遥
常州,"(2,)",朱珠717,2,2.0,2019-01-02 21:08:58,无聊啊。。。。。。,常州
石河子,"('',)",罗燕燕燕燕,2,0.5,2019-01-02 21:08:48,无聊无聊无聊,石河子
合肥,"('',)",AfY797586721,2,0.5,2019-01-02 21:08:47,一分都嫌多。,合肥
沈阳,"(1,)",hollow1738,1,0.5,2019-01-02 21:08:42,治好了多年的失眠，买跨年情怀，国产史诗级烂片,沈阳
泰兴,"('',)",fQf383844300,2,0.5,2019-01-02 21:08:32,一个垃圾不能再垃圾的电影，骗子,泰兴
成都,"(1,)",我在街上闲逛,2,0.5,2019-01-02 21:07:52,看了老半天没看懂是啥。有史以来看过最难看的电影，,成都
佛山,"(2,)",Andy楠楠,2,0.5,2019-01-02 21:07:22,没看过这么无聊的电影～只能说很烂！,佛山
昆山,"(1,)",gSH207268260,1,0.5,2019-01-02 21:07:13,年度最看不懂系列……,昆山
张家界,"('',)",mumudo,3,0.5,2019-01-02 21:06:46,别看了，你再有情怀也看不懂的。,张家界
马鞍山,"(1,)",LsS463801903,4,0.5,2019-01-02 21:06:28,第一部让我看着要睡着的片子,马鞍山
嘉兴,"('',)",jaX570385619,2,0.5,2019-01-02 21:06:19,超烂的 真的 别去,嘉兴
北京,"(2,)",yrr136,4,0.5,2019-01-02 21:06:16,全程140分钟，我只记得吃苹果了，是有多么好吃，连苹果核都要吞了,北京
杭州,"(2,)",梓囡z,2,1.0,2019-01-02 21:06:15,看了评分那么低 压根没去看,杭州
滁州,"('',)",fxU466703491,2,0.5,2019-01-02 21:05:57,差评从头到尾不知道什么意思。史上最垃圾的片子没有之一,滁州
西宁,"('',)",mDu822921787,1,0.5,2019-01-02 21:05:05,太差了！！！！！,西宁
杭州,"(1,)",玩虫子得泥巴,3,0.5,2019-01-02 21:05:00,烂到家 睡了一觉都结束不了,杭州
武汉,"('',)",Untilllv,2,0.5,2019-01-02 21:04:24,完全没看懂！！！,武汉
常州,"('',)",Onepeach_,2,3.0,2019-01-02 21:03:43,是部很悲伤的电影,常州
郑州,"(1,)",海绵宝宝_先生,1,0.5,2019-01-02 21:03:06,差评！难看！,郑州
五常市,"('',)",FMx319280861,3,0.0,2019-01-02 21:02:54,太恶心，烂片,五常市
武汉,"('',)",u.雾兮,2,3.0,2019-01-02 21:02:21,我只想说看的我想睡觉  可能是因为画质比较暗吧,武汉
潍坊,"(1,)",洗去凡尘,5,0.5,2019-01-02 21:02:16,这部电影不应该叫地球最后的夜晚，而应该叫地球最后的苹果，或者叫2018最后的烂片。实在是被恶心到了😡,潍坊
益阳,"(2,)",wan430903,2,0.5,2019-01-02 21:01:50,超级无聊，一个苹果啃几分钟，一个缆车下去几分钟，**就是骗钱的,益阳
青阳县,"('',)",喜柚y,1,0.5,2019-01-02 21:00:59,1分都多了，浪费老子钱,青阳县
梅州,"('',)",LiLLL,2,3.5,2019-01-02 21:00:49,文艺片就不要夸大宣传了，还是这么特殊的日子，到头来还不是被喷的一无是处，自然有文艺片受众喜欢看。不过多亏这部片子，在00:01牵起了现在女朋友的手。7分给相信爱情的人们,梅州
成都,"(2,)",Otra Vez 💙,3,3.5,2019-01-02 21:00:19,2.7这是真实的吗。。。别吧。。。人家也没说自己是商业爆米花片你们干嘛要拿商业片的标准去看？,成都
亳州,"(1,)",张先生要饭专用,2,1.5,2019-01-02 21:00:09,没看懂  完全看不懂,亳州
广州,"(1,)",DRc13450415270,4,0.5,2019-01-02 21:00:03,垃圾中的垃圾,广州
兰州,"('',)",发兔麦,2,2.0,2019-01-02 20:59:47,不知道，怎么说。真的是一言难尽！一脸懵逼的进来，一脸懵逼的出去。实在坐不住就离开了。哈哈哈,兰州
北京,"('',)",TpR738892470,1,0.5,2019-01-02 20:59:43,跨年夜买电影票在电影院睡了个好觉，一醒来人走一大半了 。。。一分是给电影院的座椅的😌,北京
抚州,"(1,)",奇点,2,0.5,2019-01-02 20:59:21,真的，到底在讲啥?五分钟吃苹果六分钟滑钢索?,抚州
郑州,"(2,)",SfA835646067,3,0.0,2019-01-02 20:59:13,最差没有之一，烂片中的烂片,郑州
青岛,"('',)",乐芙尚,2,0.5,2019-01-02 20:59:07,看完电影从来没评价过，这个实在是气到我了，剧情太烂了。。。。,青岛
绵阳,"('',)",杰,3,5.0,2019-01-02 20:58:38,完美的电影，完美的2018,绵阳
苏州,"('',)",MOFL1,3,4.5,2019-01-02 20:58:38,最可悲的是挣扎在记忆里，分辨得出梦境与现实但依旧自欺欺人，一头扎进幻想，越陷越深。汤唯饰演的像一股风，吹进男主的心，也带他进了沼泽,苏州
石家庄,"(1,)",你的佳佳i,3,0.5,2019-01-02 20:58:32,**这个片真的看不懂好难看啊这啥烂片炒作的呕恶心,石家庄
北京,"(1,)",回头丶yi无路可走,4,5.0,2019-01-02 20:58:25,文艺片能拍成这样很不错了,北京
西安,"('',)",🤓张毅₆₆₆,2,0.5,2019-01-02 20:57:10,唯一一次看电影睡着的，垃圾,西安
南京,"('',)",OGD467518106,1,0.5,2019-01-02 20:56:46,全程看他们吃苹果,南京
长沙,"(1,)",i501821174,2,0.5,2019-01-02 20:56:19,渣。，。。。。,长沙
武威,"(2,)",ohh你太甜了,3,0.5,2019-01-02 20:56:04,给一分都嫌多了。什么烂片。跨年晚上看了半个小时没看懂，还以为是我智商有问题，也不敢给男朋友说，结果男朋友突然也说看了半天没看明白在干什么，然后我俩就走人了。浪费钱,武威
四平,"(1,)",东北飓风,4,1.0,2019-01-02 20:55:59,呵呵 怎么说呢,四平
贵阳,"('',)",eZa18984141503,4,0.0,2019-01-02 20:55:59,难看要命，超级难看，浪费钱,贵阳
徐州,"(1,)",松野一松,2,4.0,2019-01-02 20:55:17,剧情还可以，但是没有人物介绍理解起来比较困难,徐州
许昌,"('',)",lBP524853856,1,1.5,2019-01-02 20:55:14,为了他们的努力，,许昌
东莞,"(1,)",.,3,0.5,2019-01-02 20:55:10,好看到机制啊,东莞
苏州,"('',)",PML862851250,2,0.5,2019-01-02 20:55:00,超级烂，烂透了,苏州
高阳,"('',)",LNX365728544,1,1.0,2019-01-02 20:54:51,垃圾的电影 营销手段欺骗顾客。,高阳
南雄,"(2,)",dLl444069369,1,0.5,2019-01-02 20:54:39,这是我看过的最烂的电影，没有之一,南雄
重庆,"(1,)",陆体伟,6,0.5,2019-01-02 20:54:20,没有最差只有更差,重庆
台州,"(2,)",RNU897022605,3,5.0,2019-01-02 20:53:50,很喜欢这种题材能让人静下心来看的一部电影,台州
上海,"('',)",赫阿赫,4,2.5,2019-01-02 20:53:29,资本会把导演放在他合适的位置,上海
呼和浩特,"('',)",华晨宇Momo,2,0.0,2019-01-02 20:53:21,一分都不想给。。。,呼和浩特
淮安,"('',)",阿Jiang啊,2,0.0,2019-01-02 20:53:08,明人不说暗话，0分,淮安
崇明区,"(2,)",wewelovexy,1,0.5,2019-01-02 20:53:04,超级不好看 没有中心思想 2018最烂电影,崇明区
乌兰察布,"('',)",dYB888931652,2,0.5,2019-01-02 20:51:44,汤唯 是已经无聊到家了,乌兰察布
开封,"(2,)",uJT497877816,1,0.5,2019-01-02 20:51:42,超级恶心死了,开封
北京,"(2,)",罗罗,2,2.0,2019-01-02 20:51:30,"永恒的时间与短暂的烟花，缥缈的绿裙和俗气的红夹克，流泪吃下的苹果和旋转的房间，丢失的记忆在梦里寻回……你知道我这些深奥中略带忧伤的话在说什么吗？我也不知道，这就是这部电影，呵呵……穷山恶水长镜头，歌女流氓黑社会。
说它是营销的胜利，无法苟同。在抖音营销这样一部“艺术”的电影，连使劲儿的地方都选错了，就别怪后来的差口碑和被骂作骗子。
曾经在一个关于新导演的讲座上我说过“#毕赣# 的成功对国内新导演的成长恐怕不是好事”，现在看来，连对他本人的成长都不是好事。尤其当他被卷入了资本的游戏，多么无力一目了然。
最后，我欠李沧东一个道歉，比起『地球最后的夜晚』，『燃烧』太棒了！",北京
昆明,"(1,)",xiexiaoleicool,3,0.5,2019-01-02 20:51:04,垃圾电影，侮辱智商,昆明
济南,"('',)",朱司令,2,0.5,2019-01-02 20:50:52,差评 不值得期待,济南
巩义,"(2,)",mJr773453552,2,0.0,2019-01-02 20:50:42,电影表示看不懂，,巩义
枣庄,"('',)",董呆呆0145,1,0.5,2019-01-02 20:50:39,事实证明了穿的少睡着了确实容易感冒😳,枣庄
深圳,"(2,)",不文静的雯静,1,0.5,2019-01-02 20:49:57,垃圾中的垃圾,深圳
武汉,"(1,)",YC达人,4,1.5,2019-01-02 20:49:49,可能不是喜欢类型,武汉
北京,"('',)",Lqw237062186,2,0.5,2019-01-02 20:49:02,一般不影评，这部大片让我无力吐槽……,北京
新乡,"(1,)",嘻哈淘淘,2,0.5,2019-01-02 20:48:54,长镜头太多，剧情拖沓而又纷乱，看的让人厌恶，本来想着是个唯美文艺片，觉得对象会喜欢，结果是这么个不伦不类的，而且居然还自以为是的弄了半段儿3d电影？？？令人发指，做营销的心思和资金能用一半到拍电影上都不会弄出来个这，第一次评这么低的分不造该用什么姿势xue微慌张,新乡
滨州,"(2,)",瑄瑄酱,2,3.0,2019-01-02 20:48:53,对于导演强烈的个人风格，我是持中立的态度，不算喜欢也不算排斥，60分钟一镜到底和第一视角的慢摇镜头容易晕眩，影调过于暗淡，虽然有着梦境的疏离感，但是放在跨年夜看不太合适。毕竟蜂蜜虽然是甜的，但是大家抱着只愿意甜蜜的心并不愿意被蜜蜂蛰肿。,滨州
郴州,"('',)",A-  金至福 🌸贝贝,4,0.5,2019-01-02 20:48:48,我看电影从来不睡觉、和闺蜜去居然不好意思的睡着了，醒来实在受不鸟走了。这电影谁看的懂？还这么多人看。不知道什么原因！,郴州
桂平,"(1,)",JohnnyRL,3,1.0,2019-01-02 20:48:21,地球最困的夜晚,桂平
吉林,"('',)",KcG953418903,1,0.5,2019-01-02 20:48:08,太难看了恶心不想看第二部,吉林
龙口,"('',)",98,3,0.5,2019-01-02 20:47:46,一分都不想给,龙口
西安,"('',)",DEu302254998,2,0.5,2019-01-02 20:47:45,看不懂，很乱,西安
重庆,"(1,)",JUr714039574,2,5.0,2019-01-02 20:47:42,吹爆！看过不少长镜头，也有觉得很舒服的案例，但这次是我第一次觉得长镜头叙事可以如此美好。真的是行云流水，流畅到根本没有时间拿出手机。顶着感冒到影院看这个片子，值。,重庆
成都,"('',)",vip817695171,3,0.5,2019-01-02 20:47:42,骗子电影！！,成都
盘锦,"(1,)",只为欢乐~,3,0.5,2019-01-02 20:47:41,这是什么呀 ！！！,盘锦
无锡,"('',)",XBk920569609,2,0.5,2019-01-02 20:47:36,难受了天哪简直了,无锡
睢宁,"(2,)",Txy.,3,0.0,2019-01-02 20:47:32,全程玩手机的我,睢宁
西安,"(2,)",芥茉.,3,0.5,2019-01-02 20:47:15,"能不能给0星 朋友圈已经吐槽2遍！
严重怀疑导演骗钱 我真的是看不懂欣赏不来",西安
大连,"(2,)",紫魁梦雪,2,0.5,2019-01-02 20:47:04,庆幸自己买的不是零点,大连
