所在城市,评论者性别,评论者昵称,猫眼等级,评分,评论日期,评论内容,城市
郑州,"('',)",惊鸿ggghjk,2,0.5,2018-12-31 21:07:40,我不知道发生了什么，我只知道我睡得真香！😂,郑州
雅安,"(1,)",路人甲,3,0.5,2018-12-31 21:07:40,1分给我的电影票钱，垃圾烂片就一个名字取的好，全是噱头,雅安
苏州,"('',)",EBk373959663,3,0.5,2018-12-31 21:07:39,全程都是好奇怪。恕我直言——演员到底在干啥,苏州
洛阳,"(2,)",wubing52,2,0.5,2018-12-31 21:07:39,太难看了，正在看当中，实在是看不下去了，有好多人都走了，半个星都不想。还没有看的都别看了，上当受骗,洛阳
哈尔滨,"('',)",江南投资🎀王蕊,3,0.5,2018-12-31 21:07:38,看的我困死了.到底是啥意思.这个片,哈尔滨
淮安,"(1,)",我闃,3,0.5,2018-12-31 21:07:38,超级好看，我全程懵逼看不懂。苹果肯定是红富士的很甜，很好吃!,淮安
宜宾,"(1,)",曦遇倾城,3,0.5,2018-12-31 21:07:37,诶难看，很难懂，无厘头,宜宾
北京,"('',)",蹦蹦虫儿,1,1.0,2018-12-31 21:07:36,全程懵，不知道在表达什么……,北京
沈阳,"(1,)",MARVELfiance,3,0.5,2018-12-31 21:07:36,。。不懂。。,沈阳
天津,"(1,)",jieer402,1,0.5,2018-12-31 21:07:33,借我旁边的女生的话，记住这个导演的名字，再不看他的电影……这半分是给帮助催眠不错,天津
潍坊,"(2,)",我拿什么去坚持,2,0.5,2018-12-31 21:07:31,没看过这么烂的电影，想知道电影的中心思想是什么，还不如我三年级写得作文有看头。,潍坊
郑州,"(2,)",FASCINATING,2,1.5,2018-12-31 21:07:30,get不到哪里好看了，逻辑关系太复杂,郑州
青州,"(2,)",当我死了吧,2,0.5,2018-12-31 21:07:28,看不懂，直接看不懂，我怀疑我的智商，,青州
郑州,"('',)",乌啦拉乌啦拉,2,0.5,2018-12-31 21:07:25,全程贵州话，一颗苹果吃到底,郑州
临汾,"(1,)",vcZ665190311,2,0.5,2018-12-31 21:07:25,看到一半直接退场，不解释,临汾
佛山,"(1,)",lcozvye,3,2.5,2018-12-31 21:07:22,电影体验一般,佛山
成都,"(1,)",伈随风飞x,2,0.5,2018-12-31 21:07:21,本来心情挺不错的，呵呵，看完以后整个人都不好了,成都
延安,"('',)",🐬,2,2.5,2018-12-31 21:07:16,恕我直言，懵逼场里懵逼出,延安
黄石,"(1,)",rui,1,0.5,2018-12-31 21:07:15,"本人烂片不是没有看过的，但是烂到这种我想提前退场的，我真是第一次看。
你文艺你🐴 呢？？？
最起码得讲故事你得讲明白吧，吃苹果吃你🐴 呢？？？",黄石
徐州,"(1,)",GlU728313724,2,0.5,2018-12-31 21:07:13,看的时候带着被子或者扑克牌,徐州
郑州,"(2,)",🌸 ぺ灬轲йíйɡル,3,0.5,2018-12-31 21:07:06,有史以来我没看过比这还看不懂的电影，可能是我情商和智商都太低，一边看一边看剧情简介，结果30分钟后我还是呆不下去了，硬是没明白啥意思，云里雾里，快要发疯看的心急，还好是女神汤唯，就这吧，唉,郑州
北京,"(1,)",Brandon·Wang,5,1.0,2018-12-31 21:07:05,嘻嘻，补给汤唯女神一张票钱，OK啦,北京
眉山,"('',)",LpN309892235,3,0.0,2018-12-31 21:07:03,什么破电影，被片名欺骗了。垃圾电影,眉山
宜宾,"(1,)",淡蓝色的火焰,2,0.5,2018-12-31 21:07:01,史上最烂，观众比电影先散场的烂片，没有之一，只有唯一！百分之一万建议别去看，浪费时间的粪作！,宜宾
福州,"('',)","hu""weny""",1,5.0,2018-12-31 21:07:00,音效，摄影。,福州
聊城,"('',)",阿静sxj,3,0.5,2018-12-31 21:06:58,真的很垃圾！,聊城
泸州,"('',)",NpU204596354,2,0.5,2018-12-31 21:06:57,Low low,泸州
大庆,"(2,)",叶儿,2,0.5,2018-12-31 21:06:54,一脸懵逼出来的 无语了,大庆
杭州,"('',)",熏染樱花泪,2,5.0,2018-12-31 21:06:53,有点无聊巴拉巴拉。,杭州
诸城,"(1,)",花丿小东,2,0.5,2018-12-31 21:06:49,浪费我100块钱，祸害眼！！！,诸城
宜昌,"(1,)",磊子🏋🏻,3,0.5,2018-12-31 21:06:49,不把我的脑袋看坏了，云里雾里，不知道在讲计幺，编剧是在考验现众的奈心吧，差评，不建议,宜昌
綦江,"(2,)",gXZ116926205,2,0.5,2018-12-31 21:06:47,长镜头多的，催眠片,綦江
锦州,"('',)",yRe240144278,2,1.0,2018-12-31 21:06:39,对不起我是个低俗的人,锦州
广汉,"('',)",unfilwatered,2,5.0,2018-12-31 21:06:34,真的超级好看 虽然我还没看完,广汉
广汉,"('',)",WGw294269531,2,2.0,2018-12-31 21:06:34,难看，看不懂。,广汉
陇南,"(2,)",M坎坷路,2,0.0,2018-12-31 21:06:29,哎。看咯这么多电影，第一部看到中途就无聊到出来的电影，,陇南
宜兴,"('',)",bwr946449866,2,1.0,2018-12-31 21:06:27,浪费时间，浪费生命,宜兴
赣州,"('',)",少女的祈祷Zz,3,0.5,2018-12-31 21:06:25,我不知道是不是我太蠢了 看不懂这电影 看的想睡觉,赣州
庆阳,"('',)",OZx447188944,3,0.5,2018-12-31 21:06:22,浪费时间。继乌龙院2之后最烂电影,庆阳
