公司全名,公司规模,职位名称,薪资水平,工作经验,学历要求,区域,职位福利
玖富集团,2000人以上,高级测试开发工程师,20k-30k,5-10年,本科,朝阳区,"大平台,成长迅速"
好未来,2000人以上,资深测试开发,30k-60k,5-10年,本科,海淀区,福利好待遇优
花椒直播,150-500人,移动测试开发工程师,15k-25k,3-5年,本科,朝阳区,"大牛带队,餐补车补,六险一金"
喜马拉雅,500-2000人,测试开发工程师,15k-20k,3-5年,本科,朝阳区,音频独角兽 互联网 扁平化 高成长
汽车之家,2000人以上,测试开发工程师,13k-20k,5-10年,本科,海淀区,Linux
搜狗,2000人以上,商业基础工程-测试开发工程师,15k-30k,3-5年,本科,海淀区,全栈测试开发 业界技术牛人 DevOps实践
GrowingIO,150-500人,移动端测试开发工程师,20k-35k,3-5年,本科,朝阳区,期权激励、硅谷文化、牛人共事、技术驱动
闪银奇异,500-2000人,高级测试开发,25k-45k,5-10年,本科,朝阳区,七险一金 免费餐饮 海外团建 专业团队
贝壳,2000人以上,资深测试开发工程师,25k-40k,5-10年,本科,海淀区,"公司氛围好,内部成长快,免费三餐,15薪"
字节跳动,2000人以上,测试开发工程师【校招】,15k-25k,应届毕业生,本科,东城区,六险一金，弹性工作，免费三餐，餐补
好未来,2000人以上,测试开发专家,30k-60k,5-10年,不限,海淀区,福利好待遇优
去哪儿网,2000人以上,高级测试开发工程师-金融事业部(J10609),15k-30k,5-10年,本科,海淀区,福利待遇好
爱奇艺,2000人以上,测试开发工程师,15k-30k,5-10年,本科,海淀区,项目绩效奖金，带薪年假
宜信,2000人以上,测试开发工程师,15k-22k,1-3年,本科,朝阳区,"六险一金,紧邻地铁,弹性工作"
阿里巴巴-高德,2000人以上,测试开发工程师,30k-50k,3-5年,本科,朝阳区,福利待遇、发展前景
和创科技（红圈营销）,500-2000人,测试开发专家,20k-40k,5-10年,本科,西城区,大牛云集
京东集团,2000人以上,测试开发工程师,30k-50k,5-10年,本科,通州区,餐补，带薪年假，免费班车，节日福利
搜狗,2000人以上,搜狗PC输入法-测试开发工程师,20k-40k,3-5年,本科,海淀区,"搜狗输入法,团队氛围好,核心项目"
北京八维研修学院,2000人以上,测试开发工程师,15k-25k,5-10年,大专,海淀区,"五险一金,带薪年假"
网易,2000人以上,测试开发实习生,3k-4k,应届毕业生,本科,海淀区,"核心业务,优秀团队,技术大牛,待遇好"
卓越运维,500-2000人,测试开发工程师,14k-18k,3-5年,本科,海淀区,"人工智能,数据驱动化,办公氛围好,大牛多"
金山办公软件,2000人以上,测试开发工程师,15k-25k,3-5年,本科,海淀区,"免费三餐,免费健身房,各种团建,六险一金"
美菜网,2000人以上,测试开发工程师,15k-25k,3-5年,本科,朝阳区,"E轮融资,规模大,环境好,领导好"
贝壳,2000人以上,测试开发Leader,30k-50k,5-10年,本科,海淀区,"弹性工作制,带薪年假,办公环境优,薪资福利好"
字节跳动,2000人以上,测试开发实习生,3k-5k,应届毕业生,本科,海淀区,弹性工作，免费三餐，租房补贴
去哪儿网,2000人以上,高级测试开发工程师-机票事业部,15k-25k,3-5年,本科,海淀区,年16薪，带薪年假、节假日福利、双休
京东集团,2000人以上,测试开发工程师,20k-40k,5-10年,本科,大兴区,"平台大,环境好,最多5个字,最多5个字"
好未来,2000人以上,大数据测试开发工程师,35k-55k,5-10年,本科,海淀区,"发展空间大,福利待遇优"
京东数字科技,2000人以上,测试开发工程师,15k-30k,1年以下,本科,大兴区,"班车,餐补"
汽车之家,2000人以上,测试开发,18k-30k,5-10年,本科,海淀区,"年底多薪,定期体检"
蓝信移动（北京）科技有限公司,150-500人,测试开发工程师,13k-20k,1-3年,本科,朝阳区,五险一金、弹性工作、周末 双休
滴滴出行,2000人以上,高级测试开发工程师(J180822001),20k-40k,5-10年,本科,海淀区,专业团队，薪酬福利，成长机会
搜狗,2000人以上,搜狗PC浏览器-测试开发工程师,20k-40k,1-3年,本科,海淀区,"领先行业,测试开发,发展空间大,资源丰富"
百度视频,150-500人,测试开发工程师,15k-25k,3-5年,本科,海淀区,"团队优秀,六险一金,年终奖金"
作业帮,2000人以上,资深测试开发工程师,25k-40k,5-10年,本科,海淀区,"技术+管理,大平台"
必要商城,150-500人,测试开发工程师,17k-28k,3-5年,本科,朝阳区,"测试大牛,六险一金,技术分享,盈利平台"
CDS,150-500人,高级测试开发工程师,15k-30k,5-10年,本科,海淀区,上市公司
小源科技,150-500人,测试开发工程师,8k-16k,3-5年,本科,朝阳区,"行业新,发展快,领导好"
字节跳动,2000人以上,测试开发实习生,5k-10k,不限,本科,海淀区,免费三餐，租房补贴，休闲下午茶
贝壳,2000人以上,测试开发,25k-45k,5-10年,本科,海淀区,六险二金 免费三餐 15-18薪
滴滴出行,2000人以上,测试开发实习生,4k-8k,应届毕业生,本科,海淀区,"薪酬高,下午茶,免费晚餐,加班报销"
京东集团,2000人以上,测试开发工程师--业务研发,15k-25k,3-5年,本科,朝阳区,"交易计费,需求评审"
搜狗,2000人以上,网页搜索-测试开发工程师,15k-25k,1-3年,本科,海淀区,核心团队
爱奇艺,2000人以上,测试开发工程师岗,25k-50k,不限,本科,海淀区,成长快
INK 银客集团,500-2000人,高级测试开发工程师,15k-30k,3-5年,本科,海淀区,"牛人团队,带薪年假,16薪考核,快速成长"
格灵深瞳,150-500人,测试开发工程师,20k-30k,不限,本科,海淀区,六险一金 弹性工作 餐补
商汤科技,2000人以上,高级测试开发工程师,20k-40k,3-5年,本科,海淀区,"AI独角兽,公司前景好"
DataFountain,15-50人,测试开发工程师,15k-25k,1-3年,本科,海淀区,"14薪,海外团建,气氛活跃,弹性工作"
易点租,500-2000人,测试开发工程师,20k-40k,3-5年,本科,海淀区,测试开发
四方启点,150-500人,自动化测试开发工程师,17k-25k,1年以下,本科,海淀区,"福利好,待遇佳,地铁周边"
