公司全名,公司规模,职位名称,薪资水平,工作经验,学历要求,区域,职位福利
便利蜂,2000人以上,移动端测试开发工程师,20k-30k,3-5年,本科,朝阳区,"大牛多,扁平化"
爱奇艺,2000人以上,测试开发工程师,15k-30k,1-3年,本科,海淀区,视频行业第一，交通便利，福利多多
瓜子二手车直卖网,2000人以上,高级测试开发工程师,18k-36k,3-5年,本科,海淀区,一线互联网公司薪资+全年最高19薪+不打卡
去哪儿网,2000人以上,测试开发工程师—平台事业部(J13014),15k-25k,3-5年,本科,海淀区,"16薪,十天年假,六险一金"
Zenjoy,150-500人,高级测试开发工程师,20k-30k,5-10年,本科,东城区,"六险一金,出国旅行,年底双薪,包午晚餐"
商汤科技,2000人以上,测试开发实习生,5k-8k,应届毕业生,本科,海淀区,"薪酬福利好,技术大牛多,有转正机会,平台发展快"
京东集团,2000人以上,测试开发负责人,20k-40k,5-10年,本科,通州区,五险一金；餐补；免费班车
91科技集团,150-500人,中级测试开发工程师,15k-20k,1-3年,本科,西城区,"五险一金,餐补,交补,团建"
字节跳动,2000人以上,测试开发工程师-广告业务,18k-36k,1-3年,本科,海淀区,"六险一金,免费三餐,租房补贴"
美团点评,2000人以上,测试开发工程师(客户端方向),20k-35k,3-5年,本科,朝阳区,"六险一金,餐补,班车,上升空间大"
去哪儿网,2000人以上,测试开发工程师—平台事业部(J12765),15k-25k,1-3年,本科,海淀区,"16薪,六险一金,十天年假"
小米,2000人以上,服务端测试开发工程师,20k-40k,3-5年,本科,海淀区,"核心业务,大牛云集,各种福利"
瓜子二手车直卖网,2000人以上,测试经理/测试开发专家,25k-50k,5-10年,本科,海淀区,15薪起+有期权+弹性工作+优秀的团队
马蜂窝,500-2000人,测试开发工程师 (MJ000524),15k-25k,3-5年,不限,朝阳区,发展空间大，氛围好
作业帮,2000人以上,测试开发工程师,10k-20k,不限,本科,海淀区,免费三餐 大平台 高成长空间
京东集团,2000人以上,测试开发工程师,20k-40k,5-10年,本科,通州区,五险一金；餐补；免费班车
恒昌利通,2000人以上,高级测试开发工程师,15k-30k,不限,本科,海淀区,"五险一金,绩效奖金,免费班车"
百度,2000人以上,AI测试部_测试开发工程师 （NR新零售方向）,19k-29k,1-3年,不限,海淀区,福利待遇好，班车
滴滴出行,2000人以上,服务端测试开发工程师／架构师(J180409021,20k-40k,1年以下,本科,海淀区,五险一金，免费班车
快手,500-2000人,测试开发工程师,20k-30k,3-5年,本科,海淀区,技术氛围浓厚、住房补贴、午晚餐+下午茶
众达制冷,2000人以上,测试开发工程师,30k-50k,3-5年,本科,海淀区,人脸识别技术的先行者，创造了多个行业第一
一起科技,500-2000人,直播间测试开发工程师(直播业务),20k-40k,3-5年,本科,朝阳区,"带薪年假,环境好,定期体检,年度旅游"
阿里妈妈,500-2000人,测试开发专家,40k-80k,5-10年,本科,朝阳区,大平台，重要业务，股票期权年底双薪年终奖
字节跳动,2000人以上,基础设施测试开发(QA)工程师,20k-40k,1-3年,本科,海淀区,六险一金，弹性工作，免费三餐，租房补贴
美团点评,2000人以上,资深测试开发工程师,28k-42k,3-5年,本科,朝阳区,"带薪年假,大牛团队,补充商险"
小米,2000人以上,测试开发工程师（持续集成方向),18k-36k,5-10年,本科,海淀区,"精英团队,人工智能,大公司背景,扁平文化"
建信融通,50-150人,高级测试开发工程,20k-30k,1-3年,本科,西城区,"建行子公司,扁平化管理,晋升快,福利好"
新浪微博,2000人以上,测试开发工程师,25k-40k,3-5年,本科,海淀区,年底双薪、五险一金、绩效奖金、餐补
阿里文娱,2000人以上,测试开发高级工程师-北京,20k-40k,3-5年,本科,海淀区,平台+项目体量+技术锤炼+薪酬福利
盈泰财富云,500-2000人,测试开发工程师,14k-25k,3-5年,本科,东城区,"测试开发,互联网金融,流程规范,技术型团队"
幸福消费金融,150-500人,高级测试开发工程师,15k-30k,3-5年,本科,朝阳区,"持牌经营,牛人团队,竞争力薪酬,福利优越"
新浪网,2000人以上,测试开发工程师,15k-30k,1-3年,本科,海淀区,绩效奖金 带薪年假 午餐补助 五险一金
百度,2000人以上,【百度AIG】AI测试部_NR测试开发工程师,20k-30k,1-3年,本科,海淀区,福利待遇好，班车
陌陌,500-2000人,测试开发专家,35k-55k,5-10年,本科,朝阳区,成长空间大
千挑惠选,150-500人,高级测试开发工程师,30k-60k,3-5年,本科,东城区,一经录用，待遇丰厚
作业帮,2000人以上,高级测试开发工程师,18k-30k,3-5年,本科,海淀区,"大平台,好机会,带人,技术带头人"
贝壳金服,500-2000人,高级测试开发工程师,20k-40k,5-10年,不限,海淀区,"六险一金,支付牌照"
网易,2000人以上,资深测试开发工程师,26k-52k,5-10年,本科,海淀区,"核心业务,优秀团队,技术大牛"
字节跳动,2000人以上,（高级）测试开发工程师-平台方向,15k-30k,3-5年,本科,海淀区,免费三餐，职业大牛，住房补贴
美团点评,2000人以上,资深测试开发工程师,35k-50k,5-10年,本科,朝阳区,"核心业务,六险一金,大平台"
百度,2000人以上,测试开发工程师,15k-30k,不限,本科,海淀区,"平台大,成长快,与牛人为伍"
猫眼电影,500-2000人,测试开发工程师-北京,12k-20k,应届毕业生,本科,东城区,高成长
蚂蚁金服集团,2000人以上,测试开发,25k-50k,3-5年,不限,朝阳区,弹性工作时间 期权激励 BAT
AppAnnie,50-150人,测试开发实习生,3k-4k,应届毕业生,本科,东城区,"国际化团队,业内领先,移动应用,大数据"
滴滴出行,2000人以上,服务端测试开发工程师／架构师,20k-40k,5-10年,本科,海淀区,"待遇好,团队氛围好,前景广阔"
Ocean,50-150人,测试开发负责人,40k-80k,应届毕业生,本科,海淀区,大平台
猿辅导,500-2000人,测试开发工程师,15k-30k,不限,本科,朝阳区,"出国团建,免费健身房,不打卡,超多假期"
马蜂窝,500-2000人,测试开发工程师 (MJ000581),15k-25k,3-5年,本科,朝阳区,核心团队，六险一金，班车食堂
百纳传媒,2000人以上,测试开发工程师,25k-50k,不限,本科,海淀区,五险一金 年终福利 下午茶 健身房
微壳,150-500人,高级测试开发工程师,30k-60k,3-5年,本科,朝阳区,"16薪,知名企业,学霸集中营,七险一金"
嘀嗒出行,150-500人,测试开发工程师,8k-15k,应届毕业生,本科,朝阳区,"老板好,环境棒,团队给力"
广联达科技,500-2000人,测试开发工程师,25k-40k,5-10年,本科,海淀区,"gtest,白盒测试,测试开发,API测试"
好未来,2000人以上,AI-语音算法测试开发工程师,25k-40k,3-5年,本科,海淀区,团队氛围好
字节跳动,2000人以上,测试开发工程师-企业应用产品,15k-30k,1-3年,本科,海淀区,六险一金，弹性工作，免费三餐，租房补贴
美团点评,2000人以上,高级测试开发工程师,25k-50k,5-10年,本科,朝阳区,"团队氛围好,技术氛围浓,平台业务"
滴滴出行,2000人以上,服务端测试开发工程师／架构师,20k-40k,1-3年,本科,海淀区,五险一金，免费班车
映客,500-2000人,测试开发,10k-20k,应届毕业生,本科,朝阳区,技术大牛
京东集团,2000人以上,测试开发,25k-50k,3-5年,本科,朝阳区,"弹性工作,500强"
马蜂窝,500-2000人,高级/资深测试开发工程师（大交通）,15k-30k,3-5年,本科,朝阳区,"舒适环境,轻松氛围,快速成长"
墨迹天气,150-500人,测试开发工程师,10k-18k,1-3年,本科,朝阳区,"拟上市,用户量极大,弹性工作,免费午餐"
诸葛找房网,150-500人,测试开发工程师,15k-25k,1-3年,大专,朝阳区,六险一金、一日三餐、交通补贴、住房补贴
普赛,50-150人,测试开发专家,30k-60k,3-5年,本科,海淀区,高额年终奖金、五险一金、工作环境好……
阿里文娱,2000人以上,UC事业部-高级测试开发工程师/专家,15k-30k,3-5年,本科,朝阳区,"平台宽广,团队优秀"
中信云网,500-2000人,测试开发岗,15k-30k,3-5年,本科,朝阳区,"中信,薪酬,发展,平台"
百度,2000人以上,高级测试开发工程师（移动端方向）,20k-40k,3-5年,本科,朝阳区,"一线互联网,加班少"
飞猪,500-2000人,飞猪(北京)高级测试开发工程师/专家,20k-40k,3-5年,本科,朝阳区,"阿里巴巴,全球游,生态"
网宿科技,2000人以上,测试开发工程师-北京-流媒体,10k-15k,3-5年,本科,海淀区,"上市公司,团队和谐,福利满满,技术大牛"
蚂蚁金服集团,2000人以上,测试开发专家-饿了么-P7,25k-50k,3-5年,本科,海淀区,"核心业务,顶尖团队,发展迅速,学习晋升快"
字节跳动,2000人以上,测试开发,15k-30k,1-3年,本科,海淀区,弹性工作，免费三餐，餐补，租房补贴
美团点评,2000人以上,测试开发工程师(服务端方向),20k-35k,3-5年,本科,朝阳区,"六险一金,餐补,班车,上升空间大"
马蜂窝,500-2000人,高级/资深测试开发工程师（大交通）,15k-30k,3-5年,本科,朝阳区,"弹性工作,股票期权,精英团队,技术驱动"
猫眼电影,500-2000人,测试开发工程师,15k-30k,1-3年,本科,东城区,弹性工作制
中扬天成,15-50人,测试开发工程师,10k-20k,1-3年,本科,海淀区,五险一金，年度旅游，周休二日，技术攻关
小米,2000人以上,服务端测试开发工程师,20k-40k,1-3年,本科,海淀区,"技术,平台"
人人车,2000人以上,测试开发,13k-26k,3-5年,本科,朝阳区,团队氛围好，技术牛
58同城推出的网贷服务平台。,2000人以上,高级测试开发工程师(J10753),20k-40k,3-5年,本科,朝阳区,平台大，大牛多，福利齐全
懒投资,150-500人,高级测试开发工程师,15k-25k,3-5年,本科,朝阳区,"七险一金,14薪,弹性工作"
人人行(借贷宝),2000人以上,客户端测试开发工程师,12k-24k,1-3年,本科,朝阳区,"大牛多,成长快,氛围好,发展空间大"
淡蓝网Blued,150-500人,测试开发工程师（电商方向）,20k-30k,3-5年,本科,朝阳区,"免费午餐,补充医疗,弹性时间,期权激励"
宜信,2000人以上,资深测试开发工程师,20k-30k,5-10年,本科,朝阳区,"上市公司,大牛团队,美女如云,薪酬福利好"
小米,2000人以上,高级测试开发工程师,15k-30k,不限,本科,海淀区,工作氛围好，发展潜力大
每日优鲜,500-2000人,测试开发工程师,15k-30k,3-5年,本科,朝阳区,绩效奖金 晋升空间 大平台
顺丰同城科技,500-2000人,测试开发工程师,14k-20k,应届毕业生,本科,海淀区,弹性工作制，技术大牛多，福利待遇佳
字节跳动,2000人以上,高级测试开发工程师,20k-40k,3-5年,本科,海淀区,六险一金，弹性工作，免费三餐，租房补贴
美团点评,2000人以上,测试开发工程师,20k-40k,3-5年,本科,朝阳区,"服务端,自动化,高级,搜索&amp;广告"
猫眼电影,500-2000人,移动端测试开发工程师,18k-36k,3-5年,本科,东城区,"平台好,发展快,成长好"
人人行(借贷宝),2000人以上,测试开发工程师,15k-30k,3-5年,本科,朝阳区,"大牛多,成长快,氛围好,发展空间大"
去哪儿网,2000人以上,移动端测试开发工程师—平台事业部(J13178),15k-30k,3-5年,本科,海淀区,"16薪,十天年假,六险一金"
融360,500-2000人,测试开发工程师,25k-50k,5-10年,本科,海淀区,待遇优厚，五险一金，商业保险，免费午餐
用友,2000人以上,自动化测试开发工程师,16k-30k,3-5年,本科,海淀区,上市企业
思必驰科技,150-500人,自动化测试开发工程师,20k-40k,不限,本科,海淀区,快速发展的人工智能公司，产品方向非常清晰
马蜂窝,500-2000人,无线测试开发工程师,15k-30k,3-5年,本科,朝阳区,"核心岗位,技术大牛"
VIPKID,2000人以上,高级/资深测试开发工程师,20k-40k,3-5年,本科,东城区,"发展空间大,福利待遇好,新兴行业,氛围好"
阿里文娱,2000人以上,阿里文学-测试开发专家,19k-32k,5-10年,本科,朝阳区,大平台
广州市鑫诚置业有限公司,150-500人,测试开发,25k-50k,3-5年,本科,朝阳区,大平台 高薪水 发展空间大
美菜网,2000人以上,高级测试开发工程师,18k-34k,5-10年,本科,朝阳区,晋升空间大 福利待遇优厚
盛世辉智控,15-50人,高级测试开发工程师,15k-30k,3-5年,本科,海淀区,期权、挑战、空间
VeeR,50-150人,高级测试开发工程师,15k-25k,3-5年,本科,海淀区,"大牛团队,硅谷范儿,16薪"
字节跳动,2000人以上,（高级）测试开发工程师 - 平台方向,15k-30k,3-5年,本科,海淀区,"六险一金,高薪期权,租房补贴,扁平管理"
美团点评,2000人以上,高级测试开发工程师（客户端方向）,15k-30k,3-5年,本科,朝阳区,"薪酬福利,发展空间"
人人行(借贷宝),2000人以上,测试开发工程师(QA),15k-30k,3-5年,本科,朝阳区,"技术氛围好,重能力培养,福利待遇好"
tataUFO,50-150人,高级测试开发,20k-30k,3-5年,本科,海淀区,带薪年假 旅游基金 不打卡
多＋,150-500人,测试开发工程师,13k-26k,不限,本科,朝阳区,"非996,提升空间大"
APUS Group,150-500人,测试开发工程师,15k-30k,不限,本科,朝阳区,"六险一金,独角兽,扁平管理,带薪年假"
艾鹏承远,少于15人,测试开发工程师,20k-40k,3-5年,本科,朝阳区,发展前景好，福利待遇高
罗辑思维,150-500人,测试开发,20k-40k,3-5年,本科,朝阳区,"六险一金,弹性工作,大咖云集,超多福利"
唱吧-时尚的手机KTV,150-500人,测试开发工程师（校招）,10k-15k,应届毕业生,本科,朝阳区,"七险一金,租房补贴,用餐补贴"
微店,500-2000人,测试开发,23k-45k,3-5年,本科,朝阳区,"六险一金,全员Mac,晋升加薪"
京东商城,2000人以上,测试开发工程师,15k-30k,3-5年,本科,大兴区,"京东,测试,测试开发"
融360,500-2000人,2019校招-测试开发工程师,13k-17k,应届毕业生,本科,海淀区,"团队专业,锻炼能力,成长快"
Face++,500-2000人,测试开发实习生,3k-6k,应届毕业生,本科,海淀区,"大牛大咖,免费水果零,弹性工作制"
太平洋保险集团,2000人以上,高级/资深测试开发,30k-60k,3-5年,本科,朝阳区,"美女多,配期权,独立上市,钱多多"
阿里妈妈,500-2000人,移动端测试开发专家,40k-80k,5-10年,本科,朝阳区,"发展空间大,业务前景好,高薪,阿里大平台"
字节跳动,2000人以上,测试开发负责人,30k-50k,不限,本科,海淀区,弹性工作，免费三餐，租房补贴，休闲下午茶
美团点评,2000人以上,新零售-高级测试开发工程师-业务测试,25k-45k,3-5年,本科,朝阳区,"技术沉淀快,团队佳,弹性上班,双休"
百度,2000人以上,【百度】AI测试部_服务端测试开发工程师,19k-25k,1-3年,本科,海淀区,大平台，发展机会，自我提升
一点资讯,500-2000人,测试开发工程师-校招,15k-25k,应届毕业生,本科,朝阳区,"独角兽,国资背景,牛人团队,即将上市"
逍遥自在游,150-500人,测试开发专家,30k-60k,3-5年,硕士,东城区,互联网巨头
VIPKID,2000人以上,服务器端高级测试开发工程师(J10332),20k-35k,3-5年,本科,东城区,发展前景好，扁平化管理
百度,2000人以上,测试开发实习生,4k-5k,应届毕业生,本科,海淀区,"弹性工作,周末双休,大牛带队,餐补"
猫眼电影,500-2000人,大数据测试开发工程师,15k-30k,1-3年,本科,东城区,"发展好,成长快,福利多多"
众安保险,2000人以上,测试开发工程师（经纪）,10k-20k,1-3年,不限,西城区,弹性自由、待遇优厚、行业标杆、前途无量
京东商城,2000人以上,高级测试开发工程师,30k-55k,5-10年,本科,大兴区,测试开发
快手,500-2000人,短视频测试开发工程师,20k-40k,3-5年,本科,海淀区,"产品超赞,大牛团队,薪酬福利好"
蚂蚁金服集团,2000人以上,测试开发高级工程师/专家 P6/P7,22k-40k,3-5年,不限,海淀区,不打卡 期权奖励
车和家,2000人以上,服务端测试开发工程师,15k-25k,3-5年,本科,朝阳区,"六险一金,团队氛围好,公司发展好"
百融金服,500-2000人,高级后端测试开发工程师,13k-26k,3-5年,本科,海淀区,"年底双薪,绩效奖金"
京东集团,2000人以上,测试开发工程师（区块链技术相关业务）,15k-20k,3-5年,本科,大兴区,"需求测试,区块链,软件测试"
字节跳动,2000人以上,测试开发负责人,35k-70k,不限,本科,海淀区,六险一金，弹性工作，免费三餐，租房补贴，带薪休假，休闲下午茶，扁平管理，健身瑜伽，过亿用户，职业大牛，晋升空间，团队氛围好，优厚薪资
美团点评,2000人以上,新零售-高级测试开发工程师-客户端,25k-45k,3-5年,本科,朝阳区,"技术沉淀快,弹性上班,双休"
一点资讯,500-2000人,2019校招--测试开发工程师,15k-25k,应届毕业生,本科,朝阳区,弹性工作
百度,2000人以上,AI测试部_服务端测试开发工程师 【北京】,19k-25k,1-3年,本科,海淀区,福利待遇好，班车
京东集团,2000人以上,测试开发工程师（人工智能-语音方向）,20k-40k,3-5年,本科,朝阳区,"大平台,众多场景,成熟产品,优秀团队"
蚂蚁金服集团,2000人以上,蚂蚁金服财富-测试开发专家-P6/P7/P8-北京,25k-50k,3-5年,本科,朝阳区,"核心部门，顶尖团队,大牛云集,成长晋升快"
极智嘉,500-2000人,系统研发部-高级测试开发工程师,20k-35k,5-10年,本科,朝阳区,"团队氛围好,六险一金"
美菜网,2000人以上,测试开发架构师,30k-50k,5-10年,本科,朝阳区,"E轮融资,规模大,环境好,领导好"
融360,500-2000人,高级测试开发工程师,25k-35k,3-5年,本科,海淀区,"互联网金融,发展前景,专业团队,福利待遇"
转转,500-2000人,高级测试开发工程师,20k-40k,1-3年,本科,海淀区,"六险一金,牛人共事,弹性工作,成长空间大"
北京东源汇智咨询有限责任公司,50-150人,高级测试开发工程师,40k-70k,5-10年,本科,海淀区,15-18薪 双休 期权
魔力耳朵,150-500人,高级测试开发工程师,20k-40k,5-10年,本科,朝阳区,"六险一金,年底双薪,绩效奖金,弹性工作"
小赢科技,500-2000人,测试开发,16k-30k,3-5年,本科,海淀区,技术导向，福利好
车和家,2000人以上,App测试开发工程师,15k-25k,1-3年,本科,朝阳区,"扁平化管理,六险一金,团队氛围好,公司发展好"
和创科技（红圈营销）,500-2000人,测试开发专家/经理,20k-35k,5-10年,本科,西城区,大牛云集
字节跳动,2000人以上,测试开发工程师（服务端）,18k-27k,3-5年,本科,海淀区,弹性工作，免费三餐，租房补贴，休闲下午茶，晋升空间，团队氛围好
美团点评,2000人以上,公交业务-测试开发工程师,20k-35k,3-5年,不限,朝阳区,"核心部门,平台大,待遇优,发展空间大"
百度,2000人以上,【百度】AI测试部_ROM测试开发工程师,19k-25k,1-3年,不限,海淀区,大平台，发展机会，自我提升
小红书,500-2000人,服务端测试开发工程师,20k-40k,3-5年,本科,朝阳区,"团队棒,平台好,成长快,机会多"
everbridge,500-2000人,高级自动化测试工程师（测试开发方向）,18k-23k,3-5年,本科,东城区,"上市外企,弹性工作制,和谐团队,美国交流"
联想集团,2000人以上,高级测试开发工程师,20k-40k,应届毕业生,本科,朝阳区,"福利待遇好,成熟团队,非996"
作业帮,2000人以上,测试开发实习生,3k-5k,不限,本科,海淀区,"大牛多,领导好,技术强,扁平管理"
阿里文娱,2000人以上,优酷-P2P测试开发专家,16k-30k,3-5年,本科,朝阳区,大平台 学习机制
出门问问,500-2000人,Web端测试开发工程师,15k-25k,5-10年,不限,海淀区,"年底多薪,午晚餐补助,免费健身,弹性工作制"
Veeva,2000人以上,测试开发实习生,4k-5k,不限,本科,朝阳区,"纽交所上市,生命科学,培训,无限零食"
逍遥自在游,150-500人,高级测试开发工程师,45k-58k,3-5年,硕士,东城区,独角兽潜质
北京正诺文化,15-50人,区块链测试开发工程师,20k-40k,3-5年,大专,朝阳区,"大牛云集,硅谷文化,五险一金，好平台"
蚂蚁金服集团,2000人以上,蚂蚁金服专场招聘-高级测试开发工程师／专家-北京,20k-40k,3-5年,本科,朝阳区,大平台
Zuora,500-2000人,高级测试开发工程师,25k-50k,5-10年,本科,东城区,"技术氛围好,发展空间,六险一金,公司旅游"
淘车二手车,2000人以上,高级测试开发工程师,20k-40k,5-10年,本科,海淀区,"带薪年假,五险一金,交通、餐补,升值空间大"
字节跳动,2000人以上,测试开发工程师,15k-30k,1-3年,本科,海淀区,六险一金，免费三餐，租房补贴，带薪休假，休闲下午茶，扁平管理，健身瑜伽，过亿用户
美团点评,2000人以上,高级测试开发工程师（客户端方向）,20k-35k,3-5年,本科,朝阳区,"独角兽企业,班车接送"
百度,2000人以上,【百度】AI测试部_驱动测试开发工程师,19k-25k,1-3年,本科,海淀区,大平台，发展机会，自我提升
阿里文娱,2000人以上,资深测试开发工程师-APP或服务端,20k-35k,3-5年,本科,海淀区,"技术驱动,团队大牛,薪酬福利,提升空间"
融360,500-2000人,高级测试开发工程师-大数据平台方向,20k-30k,3-5年,本科,海淀区,"互联网,发展前景,专业团队,福利待遇"
森众,500-2000人,高级测试开发工程师,20k-30k,3-5年,大专,海淀区,"福利好,扁平管理,nice,美女如云"
映客,500-2000人,测试开发工程师（音视频方向）,20k-30k,3-5年,本科,朝阳区,映客直播、福利健全、发展迅速
中国电信云计算公司,500-2000人,云平台测试开发工程师,20k-40k,3-5年,本科,海淀区,云计算
58到家,50-150人,测试开发工程师（实习生）,9k-14k,应届毕业生,本科,朝阳区,"平台强大,待遇优厚,扁平管理"
NIO蔚来,2000人以上,测试开发实习生,5k-6k,应届毕业生,本科,朝阳区,"学霸团队,弹性办公"
Chope,150-500人,自动化测试开发工程师,8k-16k,3-5年,本科,海淀区,"出国旅游,六险一金,年终奖,绩效"
小猪短租,150-500人,测试开发工程师（校招）(J10231),9k-13k,应届毕业生,本科,海淀区,"领导好,节假日福利,餐补,氛围好"
陌陌,500-2000人,测试开发工程师（视频直播）,15k-25k,1-3年,本科,朝阳区,核心部门
出门问问,500-2000人,高级测试开发工程师-北京-00308,15k-24k,3-5年,本科,海淀区,"谷歌风格,弹性工时,免费健身,下午茶"
蚂蚁金服集团,2000人以上,蚂蚁金服-微贷事业群-测试开发专家-北京,28k-55k,3-5年,本科,朝阳区,"核心事业群,顶尖团队,大牛云集学习晋升快"
字节跳动,2000人以上,测试开发高级工程师-懂车帝,22k-40k,3-5年,本科,海淀区,弹性工作，免费三餐，租房补贴，休闲下午茶
美团点评,2000人以上,闪购事业部-测试开发专家-客户端,20k-40k,3-5年,本科,朝阳区,快速成长
百度,2000人以上,AI测试部_测试开发工程师 （NR新零售方向）,19k-25k,1-3年,本科,海淀区,福利待遇好，班车
作业帮,2000人以上,测试开发实习生（非应届生）,5k-8k,不限,本科,海淀区,免费三餐、技术氛围浓厚
58到家,50-150人,测试开发工程师（校招）,10k-15k,应届毕业生,本科,朝阳区,"平台强大,待遇优厚,扁平管理"
度小满金融,500-2000人,服务端测试开发工程师,15k-30k,3-5年,本科,海淀区,"大平台,促成长,福利好,弹性工作"
映客,500-2000人,测试开发工程师（音视频方向）,15k-25k,3-5年,大专,朝阳区,"发展空间大,用户量大,环境好"
蚂蚁金服集团,2000人以上,蚂蚁金服-测试开发专家-大数据/AI-北京/杭州,30k-55k,3-5年,本科,朝阳区,"战略事业群,顶尖技术,成长空间大高手云集"
VIPKID,2000人以上,基础服务高级测试开发(J10394),15k-25k,3-5年,本科,朝阳区,六险一金 交通便利
Face++,500-2000人,AI算法测试开发实习生/工具链开发实习生,4k-5k,不限,本科,海淀区,极客公司 AI团队
小米,2000人以上,全栈测试开发工程师,25k-50k,3-5年,本科,海淀区,"大牛云集,核心部门,各种福利"
翼辉信息,150-500人,自动化测试开发工程师,8k-15k,不限,本科,海淀区,"弹性工作,午餐补贴,交通补贴,团队活动"
贝壳,2000人以上,嵌入式软件测试开发工程师,25k-30k,不限,本科,海淀区,六险二金，带薪年假
众安保险,2000人以上,高级测试开发工程师（北京金融技术部）,15k-25k,3-5年,本科,西城区,"上市公司,扁平管理,发展空间大,待遇优厚"
新浪微博,2000人以上,测试开发工程师（广告方向）,24k-48k,1-3年,本科,海淀区,"前景好,氛围好"
字节跳动,2000人以上,测试开发高级工程师,20k-40k,3-5年,本科,海淀区,团队氛围好，包三餐下午茶
美团点评,2000人以上,高级测试开发工程师（移动端）,35k-45k,3-5年,本科,朝阳区,"高薪,期权"
百度,2000人以上,服务端测试开发,10k-15k,1-3年,本科,海淀区,发展空间大
蚂蚁金服集团,2000人以上,测试开发专家-P7-网商银行-北京,25k-50k,3-5年,本科,朝阳区,"精英部门,前景有期权,大牛云集,晋升快"
闪银奇异,500-2000人,Python测试开发,15k-25k,1-3年,本科,朝阳区,七险一金，免费自助餐，健身房，大咖云集
FreeWheel,500-2000人,测试开发Lead,20k-38k,5-10年,本科,朝阳区,"美资互联网,英文环境,硅谷文化"
速子科技,15-50人,区块链交易所测试开发工程师,25k-35k,3-5年,本科,朝阳区,"区块链,成长性好"
车和家,2000人以上,BSP测试开发工程师,20k-40k,3-5年,本科,朝阳区,六险一金；年底双薪；定期体检
腾讯,2000人以上,SA-腾讯社交广告测试开发工程师（研发中心 北京）,20k-40k,3-5年,本科,海淀区,"大空间,大平台"
小米,2000人以上,测试开发工程师（QA lead）,25k-35k,5-10年,本科,海淀区,华东研发总部、互联网业务、领先薪酬
百融金服,500-2000人,前端高级测试开发工程师,13k-26k,3-5年,本科,海淀区,"年底双薪,绩效奖金"
猎户星空,500-2000人,图像识别测试开发工程师,15k-25k,3-5年,本科,朝阳区,"高速发展,弹性工作,绩效奖金,开放透明"
映客,500-2000人,测试开发高级工程师（iOS方向),20k-30k,3-5年,本科,朝阳区,映客直播、福利健全、发展迅速
精英路通,150-500人,深度学习算法测试开发工程师,10k-15k,3-5年,本科,海淀区,环境好 领导好 同事好
58到家,50-150人,测试开发工程师（实习，优异者直接发校招offer）,2k-4k,应届毕业生,本科,朝阳区,"核心业务,指导人制度,技术氛围浓"
字节跳动,2000人以上,基础设施测试开发(QA)负责人,25k-50k,3-5年,本科,海淀区,六险一金，弹性工作，免费三餐，租房补贴
美团点评,2000人以上,高级测试开发工程师（服务端方向）,20k-40k,3-5年,本科,朝阳区,"工程师文化,弹性上班,双休,技术沉淀快"
百度,2000人以上,移动端测试开发,20k-30k,3-5年,本科,海淀区,发展空间大
蚂蚁金服集团,2000人以上,蚂蚁金服-无线端测试开发专家-网商银行,25k-50k,3-5年,本科,朝阳区,"核心事业群业务线丰富,大牛云集晋升空间大"
哗啦啦,500-2000人,Java测试开发工程师,15k-30k,3-5年,本科,西城区,"五险一金,年终奖金,带薪年假,节日福利"
映客,500-2000人,测试开发工程师（iOS方向),15k-25k,3-5年,本科,朝阳区,"发展空间大,用户量大,环境好"
新浪微博,2000人以上,测试开发工程师（Python开发测试框架）,20k-30k,3-5年,本科,海淀区,"测试开发,pytho,自动化测试,框架开发"
腾讯,2000人以上,腾讯视频SDK测试开发工程师,15k-30k,1-3年,本科,海淀区,鹅厂大平台；福利待遇佳
易见天树,15-50人,Java 测试开发,25k-40k,1-3年,本科,海淀区,"五险一金,弹性时间,补充医疗,法定节假日"
美团点评,2000人以上,高级测试开发工程师（服务端方向）,20k-35k,3-5年,本科,朝阳区,"独角兽企业,班车接送"
字节跳动,2000人以上,基础平台测试开发工程师,20k-40k,1-3年,本科,海淀区,六险一金，弹性工作，免费三餐，租房补贴
美团点评,2000人以上,高级测试开发工程师（服务端方向）,15k-30k,3-5年,本科,朝阳区,"发展空间,薪酬待遇"
百度,2000人以上,【百度】AI测试部_语音客户端测试开发工程师,19k-25k,1-3年,本科,海淀区,大平台，发展机会，自我提升
百度,2000人以上,【百度】AI测试部_测试开发实习生,3k-5k,不限,本科,海淀区,大平台，发展机会，自我提升
美团点评,2000人以上,高级测试开发工程师（服务端方向）(外卖测试组-北京总部),10k-15k,不限,本科,朝阳区,发展平台佳；发展机会多；工作氛围轻松
